#BJD_TDB	rel_flux_T1_n	rel_flux_err_T1_n	rel_flux_T76_n	rel_flux_err_T76_n	AIRMASS	Sky/Pixel_T1	Width_T1	tot_C_cnts	X(FITS)_T1	Y(FITS)_T1
2458242.711693	0.994172	0.000967	0.991692	0.002898	2.574742	320.481125	15.509983	22674472.201913	1765.484058	2171.060773
2458242.712994	0.992968	0.000950	0.993294	0.002898	2.540946	316.561919	15.304726	22809136.677585	1764.911011	2170.766593
2458242.714303	0.996647	0.000950	1.001836	0.002822	2.508005	310.585500	15.022196	22933215.374232	1765.381664	2170.892562
2458242.715603	1.001598	0.000950	0.996650	0.002822	2.476343	308.029237	15.144591	22991019.164147	1765.133374	2171.117602
2458242.716904	1.002616	0.000950	0.998861	0.002822	2.445671	303.110553	15.313882	23014513.507690	1764.822712	2170.891236
2458242.718205	1.000344	0.000933	1.002751	0.002822	2.415932	297.628275	15.226540	23190148.100593	1764.796389	2171.187104
2458242.719505	0.995426	0.000933	1.002293	0.002822	2.387125	294.000730	14.829734	23254184.999134	1764.460823	2171.082648
2458242.720805	0.996766	0.000933	0.997641	0.002746	2.359188	293.158159	14.595846	23329173.312167	1764.467307	2171.024454
2458242.722106	0.999869	0.000933	1.000082	0.002746	2.332089	290.638126	14.739873	23370408.249873	1764.175485	2171.106558
2458242.723406	0.995104	0.000933	1.002141	0.002746	2.305799	285.413723	15.216640	23433054.272781	1764.401372	2171.371180
2458242.724706	0.992154	0.000933	1.002141	0.002746	2.280284	288.892247	15.156940	23491070.560953	1764.042980	2170.802542
2458242.726059	0.993493	0.000916	1.002751	0.002746	2.254536	284.536444	15.118395	23524897.420702	1764.049366	2170.948290
2458242.727360	1.002497	0.000933	0.997031	0.002746	2.230502	285.891751	15.049756	23548246.628252	1764.452916	2171.097521
2458242.728660	0.993510	0.000916	0.992379	0.002746	2.207170	287.413997	14.935607	23639007.404211	1763.788157	2171.644306
2458242.729960	0.996868	0.000916	1.008471	0.002746	2.184500	291.486038	15.228884	23668443.310316	1763.555764	2171.331044
2458242.731259	0.999309	0.000933	1.002675	0.002746	2.162484	297.764414	15.160257	23754290.918610	1763.808066	2171.227127
2458242.732560	0.999394	0.000933	1.000768	0.002746	2.141062	304.656187	15.111156	23795928.653175	1763.567207	2171.103868
2458242.733860	1.002531	0.000933	1.003132	0.002746	2.120237	308.820275	14.819772	23873147.703163	1763.770810	2171.201386
2458242.735160	0.999818	0.000933	1.005192	0.002746	2.100001	314.346457	14.915977	23947191.516469	1763.488010	2171.191897
2458242.736460	1.001395	0.000933	0.999777	0.002822	2.080313	326.625031	14.867539	24006773.565268	1763.496422	2171.480198
2458242.737760	1.000513	0.000933	1.004505	0.002822	2.061151	338.106808	14.809222	24058662.989269	1763.327814	2171.049605
2458242.739157	1.002362	0.000933	1.000005	0.002822	2.041149	349.983732	14.770321	24096547.329990	1763.359350	2171.331891
2458242.740459	1.001819	0.000933	1.000082	0.002898	2.023011	367.972766	14.905372	24118984.976185	1763.564712	2171.496189
2458242.741760	0.996800	0.000950	1.003742	0.002898	2.005388	383.063630	14.828585	24194644.198792	1763.230392	2171.327534
2458242.743059	0.996613	0.000950	1.006488	0.002898	1.988238	399.045523	15.054418	24172769.793554	1763.182076	2171.531780
2458242.744360	1.000276	0.000950	1.005649	0.002974	1.971536	419.513217	15.071931	24210445.182434	1763.257879	2171.492993
2458242.745659	0.998614	0.000967	1.010683	0.002974	1.955284	436.088720	15.719475	24174710.012199	1762.991181	2170.630353
2458242.746961	0.997359	0.000967	1.003819	0.003051	1.939422	454.003455	15.205190	24327370.794413	1763.193305	2171.704356
2458242.748262	0.997614	0.000967	1.006259	0.003051	1.923984	474.108727	14.986521	24351499.113945	1763.047938	2171.109746
2458242.749562	0.997512	0.000967	1.001073	0.003051	1.908953	492.406788	14.956886	24444812.707116	1763.078919	2171.118084
