GJD-2450000 flux err airmass sky dx dy fwhm peak baserun
8539.902390 0.892505 0.068288 1.6088 1400.0 -27.807 27.151 4.47 2632.0 MSCT1_1902250056
8539.902760 0.866022 0.019990 1.6054 1148.4 -30.998 24.082 6.38 3881.0 MSCT1_1902250057
8539.903131 1.020794 0.011555 1.6014 857.8 -30.214 25.229 5.16 6769.0 MSCT1_1902250058
8539.903501 0.961769 0.041744 1.5974 1006.0 -28.992 24.738 4.61 2850.0 MSCT1_1902250059
8539.903872 1.023296 0.016940 1.5935 804.4 -30.505 25.264 4.26 5340.0 MSCT1_1902250060
8539.904230 1.032937 0.024057 1.5902 812.4 -31.355 25.112 4.83 3323.0 MSCT1_1902250061
8539.904601 0.982359 0.031590 1.5863 801.3 -30.740 24.260 4.13 3154.0 MSCT1_1902250062
8539.904971 1.052110 0.074102 1.5824 812.2 -31.400 24.343 5.64 1789.0 MSCT1_1902250063
8539.905700 1.125511 0.104697 1.5754 742.8 -30.748 23.294 9.20 1246.0 MSCT1_1902250065
8539.914520 0.748896 0.021795 1.4937 418.7 -25.369 18.377 8.50 1424.0 MSCT1_1902250089
8539.914890 1.006338 0.010380 1.4909 354.0 -25.990 18.182 6.53 3604.0 MSCT1_1902250090
8539.915260 0.978397 0.007400 1.4876 326.6 -26.519 17.837 6.40 4013.0 MSCT1_1902250091
8539.915631 0.963163 0.008813 1.4844 335.1 -26.244 16.944 6.36 3568.0 MSCT1_1902250092
8539.915990 1.019365 0.010484 1.4817 336.3 -26.882 17.748 6.53 2729.0 MSCT1_1902250093
8539.916360 1.122164 0.096614 1.4785 410.5 -31.260 16.003 11.17 725.0 MSCT1_1902250094
8539.918189 2.803616 118.947334 1.4632 661.0 30.797 36.195 0.00 718.0 MSCT1_1902250099
8539.919659 2.803616 111.017511 1.4515 581.2 30.797 36.195 0.00 647.0 MSCT1_1902250103
8539.920388 2.803616 114.982422 1.4460 644.0 30.797 36.195 0.00 704.0 MSCT1_1902250105
8539.923328 1.253524 0.047071 1.4235 475.1 -20.860 13.134 8.97 980.0 MSCT1_1902250113
8539.952737 1.005281 0.010417 1.2488 224.5 3.037 0.663 7.01 2116.0 MSCT1_1902250133
8539.955666 1.014742 0.024937 1.2356 257.7 7.831 0.596 7.60 968.0 MSCT1_1902250141
8539.956024 0.955734 0.009141 1.2338 213.5 7.417 -1.136 7.13 2312.0 MSCT1_1902250142
8539.956395 1.028263 0.008854 1.2321 209.3 -0.857 -1.345 7.58 2591.0 MSCT1_1902250143
8539.957865 1.005147 0.012799 1.2259 235.1 -7.846 -1.328 6.46 2028.0 MSCT1_1902250147
8539.958223 1.030690 0.008304 1.2243 223.7 -5.884 -1.127 7.44 2801.0 MSCT1_1902250148
8539.958594 1.050442 0.018081 1.2226 284.9 -4.886 -0.114 7.13 1518.0 MSCT1_1902250149
8539.958964 1.038662 0.057415 1.2210 344.6 -3.600 -2.258 6.03 853.0 MSCT1_1902250150
8539.961522 0.971474 0.021571 1.2105 239.3 0.823 -1.573 6.74 1347.0 MSCT1_1902250157
8539.961892 0.988076 0.039320 1.2090 227.9 0.822 -1.315 8.22 723.0 MSCT1_1902250158
8539.962263 1.016781 0.077543 1.2074 242.2 2.074 1.223 11.96 498.0 MSCT1_1902250159
8539.962622 1.001536 0.013854 1.2059 200.5 3.073 -1.507 7.39 1676.0 MSCT1_1902250160
8539.962992 1.033118 0.093435 1.2046 225.8 0.249 -1.611 12.09 496.0 MSCT1_1902250161
8539.963362 1.037554 0.010953 1.2030 196.6 -0.021 -1.028 5.40 3085.0 MSCT1_1902250162
8539.963721 0.946026 0.011533 1.2015 200.5 0.518 -1.428 5.92 3301.0 MSCT1_1902250163
8539.964091 1.023472 0.006883 1.2003 179.7 1.968 -0.528 5.09 5726.0 MSCT1_1902250164
8539.964462 1.019415 0.006557 1.1988 174.4 -0.337 -1.127 6.05 4834.0 MSCT1_1902250165
8539.964821 1.021820 0.005658 1.1973 162.4 -0.832 -1.565 5.70 6534.0 MSCT1_1902250166
8539.965191 1.016331 0.005662 1.1960 163.6 0.145 -0.573 5.20 7002.0 MSCT1_1902250167
8539.965550 1.022983 0.005437 1.1946 161.2 -0.625 -1.043 5.79 6681.0 MSCT1_1902250168
8539.965920 1.019058 0.005559 1.1931 160.9 -1.421 -1.710 5.32 7938.0 MSCT1_1902250169
8539.966291 1.007010 0.005730 1.1916 163.5 -1.235 -0.718 5.48 6794.0 MSCT1_1902250170
8539.966649 1.017951 0.005624 1.1904 161.8 -1.315 -0.652 5.38 7199.0 MSCT1_1902250171
8539.967020 1.018523 0.005570 1.1890 159.3 -1.211 -0.123 4.88 8023.0 MSCT1_1902250172
8539.967390 1.018305 0.005605 1.1876 160.4 0.348 0.128 5.92 6181.0 MSCT1_1902250173
8539.967749 1.027425 0.006753 1.1861 169.6 -0.815 -0.700 6.20 4606.0 MSCT1_1902250174
8539.968119 0.955146 0.009175 1.1849 182.4 -1.282 -0.810 5.08 3933.0 MSCT1_1902250175
8539.968490 0.995024 0.006178 1.1835 165.2 -1.185 -0.252 4.83 7306.0 MSCT1_1902250176
8539.968848 1.039614 0.005931 1.1821 159.1 -0.734 -1.161 5.44 6927.0 MSCT1_1902250177
8539.969219 1.014157 0.006271 1.1810 164.4 -0.151 -1.071 5.43 6493.0 MSCT1_1902250178
8539.969589 1.008813 0.006079 1.1796 162.4 1.687 -0.459 5.33 6770.0 MSCT1_1902250179
8539.969948 1.013699 0.005316 1.1782 148.9 0.695 0.081 6.30 5985.0 MSCT1_1902250180
8539.970318 0.999434 0.005268 1.1771 149.4 -1.873 -1.241 5.80 6903.0 MSCT1_1902250181
8539.970689 0.996886 0.006785 1.1757 167.5 -2.193 -0.536 5.17 5603.0 MSCT1_1902250182
8539.971047 1.005550 0.005679 1.1744 154.6 -2.203 -0.825 5.21 7312.0 MSCT1_1902250183
8539.971418 1.007969 0.005406 1.1730 149.9 -1.403 -0.303 4.97 8199.0 MSCT1_1902250184
8539.971788 1.009084 0.005147 1.1719 144.5 -0.647 -0.180 4.83 8477.0 MSCT1_1902250185
8539.972147 1.001101 0.005073 1.1706 146.3 -0.520 -0.019 4.71 8898.0 MSCT1_1902250186
8539.972517 1.009091 0.005142 1.1692 145.8 0.120 -1.464 4.94 8143.0 MSCT1_1902250187
8539.972888 1.011175 0.005098 1.1682 142.1 -1.594 -0.606 5.10 8322.0 MSCT1_1902250188
8539.973247 1.009756 0.005014 1.1668 141.0 -1.821 -0.887 4.85 10144.0 MSCT1_1902250189
8539.973617 1.003086 0.004999 1.1655 140.6 -1.355 -0.351 4.66 10600.0 MSCT1_1902250190
8539.973976 1.009119 0.004947 1.1644 137.7 -0.566 -0.724 5.03 10266.0 MSCT1_1902250191
8539.974346 1.008583 0.004921 1.1631 137.0 -0.237 0.244 4.49 11061.0 MSCT1_1902250192
8539.974716 1.004687 0.004918 1.1619 138.6 0.482 -1.008 4.83 10318.0 MSCT1_1902250193
8539.975075 1.011159 0.004932 1.1608 136.2 -0.007 -0.183 4.64 9494.0 MSCT1_1902250194
8539.975446 1.003140 0.004883 1.1596 135.1 0.147 -0.771 4.32 11719.0 MSCT1_1902250195
8539.975816 0.986742 0.004867 1.1583 133.9 -0.759 -0.187 4.54 10636.0 MSCT1_1902250196
8539.976175 1.007092 0.004951 1.1573 132.6 -0.661 -0.758 4.48 9851.0 MSCT1_1902250197
8539.976545 1.007293 0.005003 1.1560 134.8 -1.260 -0.669 5.54 8570.0 MSCT1_1902250198
8539.976916 0.997528 0.005074 1.1548 135.6 -1.685 0.290 5.15 7785.0 MSCT1_1902250199
8539.977274 1.001952 0.005342 1.1538 140.3 -0.870 -0.588 4.99 8409.0 MSCT1_1902250200
8539.977645 0.999037 0.005445 1.1526 143.2 0.394 -0.129 4.96 8105.0 MSCT1_1902250201
8539.978015 0.999037 0.005547 1.1514 143.8 -2.046 -2.073 5.62 6498.0 MSCT1_1902250202
8539.978374 1.005633 0.005814 1.1502 146.0 -0.864 -0.592 4.83 6931.0 MSCT1_1902250203
8539.978744 0.987053 0.005648 1.1492 143.3 -0.806 -0.188 5.39 6123.0 MSCT1_1902250204
