GJD-2450000 flux err airmass sky dx dy fwhm peak baserun
8539.902390 1.022696 0.049531 1.6088 8187.2 -29.119 29.920 5.67 12656.0 MSCT0_1902250056
8539.902760 0.918385 0.014427 1.6054 7064.7 -28.620 27.864 6.60 16754.0 MSCT0_1902250057
8539.903131 1.024556 0.008341 1.6014 6015.9 -28.576 26.655 5.45 25164.0 MSCT0_1902250058
8539.903501 1.003559 0.030446 1.5974 6463.3 -27.766 28.887 4.75 12046.0 MSCT0_1902250059
8539.903860 1.091768 0.012239 1.5935 5585.8 -27.830 27.131 4.93 20482.0 MSCT0_1902250060
8539.904230 1.087039 0.017257 1.5902 5587.9 -29.138 27.432 6.04 13537.0 MSCT0_1902250061
8539.904601 0.981779 0.022830 1.5863 5479.5 -29.062 25.468 4.92 12637.0 MSCT0_1902250062
8539.904971 1.157264 0.051823 1.5824 5421.0 -29.633 28.392 5.31 8413.0 MSCT0_1902250063
8539.905700 1.227151 0.081166 1.5754 5156.4 -27.958 22.088 5.87 6850.0 MSCT0_1902250065
8539.909740 3.242188 334.715667 1.5366 5092.5 -0.307 -0.000 0.00 5212.0 MSCT0_1902250076
8539.911221 3.242188 375.981983 1.5231 6303.4 -0.307 -0.000 0.00 6420.0 MSCT0_1902250080
8539.911950 3.242188 357.641398 1.5161 5703.1 -0.307 -0.000 0.00 5767.0 MSCT0_1902250082
8539.912691 3.242188 155.894968 1.5099 3971.8 -0.307 -0.000 0.00 4142.0 MSCT0_1902250084
8539.913420 7.946821 21.065307 1.5031 3654.0 -23.105 -69.577 18.80 3853.0 MSCT0_1902250086
8539.914531 0.776780 0.015666 1.4937 3385.5 -24.840 19.258 8.30 6659.0 MSCT0_1902250089
8539.914890 1.019552 0.007093 1.4909 2899.9 -24.853 19.299 6.28 14157.0 MSCT0_1902250090
8539.915260 0.984783 0.005012 1.4876 2714.4 -24.641 18.839 7.12 15137.0 MSCT0_1902250091
8539.915631 0.965575 0.005838 1.4844 2749.3 -24.632 19.210 6.96 13543.0 MSCT0_1902250092
8539.916001 1.018500 0.007154 1.4817 2771.4 -25.108 18.338 7.50 11197.0 MSCT0_1902250093
8539.917459 3.242188 343.885960 1.4695 5081.4 -0.307 -0.000 0.00 5146.0 MSCT0_1902250097
8539.922969 0.099241 2.100249 1.4264 3734.4 -16.272 -74.841 19.30 3959.0 MSCT0_1902250112
8539.923339 1.251077 0.035040 1.4235 3762.8 -20.756 14.914 9.30 5406.0 MSCT0_1902250113
8539.925168 3.242188 339.300814 1.4103 5202.6 -0.307 -0.000 0.00 5270.0 MSCT0_1902250118
8539.927008 3.242188 169.650407 1.3971 5017.7 -0.307 -0.000 0.00 5169.0 MSCT0_1902250123
8539.927737 3.242188 165.065261 1.3922 4854.5 -0.307 -0.000 0.00 5009.0 MSCT0_1902250125
8539.952737 1.014489 0.006725 1.2488 1665.4 4.921 2.149 7.71 7700.0 MSCT0_1902250133
8539.954207 3.242188 247.597891 1.2420 2552.9 -0.307 -0.000 0.00 2626.0 MSCT0_1902250137
8539.954578 3.242188 252.183037 1.2405 2735.9 -0.307 -0.000 0.00 2813.0 MSCT0_1902250138
8539.954936 3.242188 261.353329 1.2387 2830.8 -0.307 -0.000 0.00 2951.0 MSCT0_1902250139
8539.955677 1.006358 0.016111 1.2356 1997.9 10.237 0.100 8.46 4383.0 MSCT0_1902250141
8539.956036 0.969161 0.005801 1.2338 1682.4 8.255 -0.125 7.95 8884.0 MSCT0_1902250142
8539.956406 1.039766 0.005855 1.2321 1672.7 1.434 -0.112 7.70 8959.0 MSCT0_1902250143
8539.957876 1.004204 0.007937 1.2256 1839.2 -6.360 0.427 7.41 8260.0 MSCT0_1902250147
8539.958235 1.047644 0.005418 1.2243 1779.3 -4.705 0.222 7.91 9959.0 MSCT0_1902250148
8539.958605 1.070758 0.012154 1.2226 2186.2 -2.598 -0.277 8.66 6302.0 MSCT0_1902250149
8539.958976 1.131026 0.038923 1.2210 2604.6 -4.901 -0.164 6.91 4280.0 MSCT0_1902250150
8539.960434 3.242188 252.183037 1.2148 2848.6 -0.307 -0.000 0.00 2931.0 MSCT0_1902250154
8539.961534 0.979963 0.012093 1.2103 1817.3 1.568 -0.797 6.88 6112.0 MSCT0_1902250157
8539.961904 0.972525 0.029926 1.2090 1734.6 2.215 -0.216 8.86 3104.0 MSCT0_1902250158
