# GJD-2450000 flux err airmass sky dx dy baserun
8207.939392 1.022139 0.011948 1.0578 931.9 2.210 -0.785 MSCT2_1803300071
8207.940006 0.996628 0.011918 1.0573 930.7 1.661 -0.518 MSCT2_1803300072
8207.940608 0.970650 0.011854 1.0568 951.5 0.000 0.000 MSCT2_1803300073
8207.941233 1.016437 0.012024 1.0563 940.7 -0.840 0.896 MSCT2_1803300074
8207.941846 1.003057 0.011971 1.0559 932.5 -1.292 -0.134 MSCT2_1803300075
8207.942459 1.008211 0.011703 1.0554 933.7 -2.534 0.606 MSCT2_1803300076
8207.943061 1.002992 0.012077 1.0549 935.0 -3.935 0.158 MSCT2_1803300077
8207.943686 0.975099 0.011905 1.0545 931.4 -5.135 -0.417 MSCT2_1803300078
8207.944288 1.004361 0.012069 1.0541 926.4 -5.332 -0.138 MSCT2_1803300079
8207.944902 1.001556 0.011827 1.0537 923.0 -6.261 0.857 MSCT2_1803300080
8207.945527 0.989297 0.011771 1.0533 922.0 -7.295 1.038 MSCT2_1803300081
8207.946128 1.025037 0.012100 1.0529 926.4 -1.812 -0.250 MSCT2_1803300082
8207.946742 0.989983 0.011697 1.0525 928.7 -2.925 -0.035 MSCT2_1803300083
8207.947355 2.987870 0.052908 1.0522 930.7 0.100 -0.286 MSCT2_1803300084
8207.947969 0.987836 0.011957 1.0518 931.3 -0.652 -1.299 MSCT2_1803300085
8207.948582 0.961061 0.011697 1.0515 933.3 -2.087 0.949 MSCT2_1803300086
8207.949207 0.977067 0.011768 1.0512 934.2 -3.132 1.914 MSCT2_1803300087
8207.949821 0.981257 0.011758 1.0509 936.6 -0.840 0.193 MSCT2_1803300088
8207.950434 1.003244 0.011781 1.0506 933.5 -1.001 0.252 MSCT2_1803300089
8207.951047 0.999639 0.011977 1.0503 937.0 -2.287 -0.359 MSCT2_1803300090
8207.951672 1.004328 0.012286 1.0500 976.1 -3.958 -1.000 MSCT2_1803300091
